native_id,met_monitor_id,state,cbsa,latitude,longitude,pct_available
KUIN,231,IL,99999,39.93694,-91.19194,0.9972
KUKI,55,CA,99999,39.12583,-123.20083,0.9986
KUNO,362,MO,99999,36.87806,-91.9025,0.9944
KUUU,598,RI,39300,41.53333,-71.28333,1
KUZA,611,SC,16740,34.98694,-81.0575,0.9972
KVAY,461,NJ,15804,39.94917,-74.84167,1
KVCB,51,CA,46700,38.3775,-121.9575,1
KVCT,684,TX,47020,28.8614,-96.9303,0.9986
KVEL,702,UT,99999,40.42694,-109.55306,1
KVGT,486,NV,29820,36.21167,-115.19583,0.9959
KVIH,364,MO,99999,38.13333,-91.76667,0.9959
KVLD,183,GA,46660,30.7825,-83.27667,0.9986
KVNY,92,CA,31084,34.20972,-118.48917,1
KVPC,191,GA,12060,34.12306,-84.84861,1
KVPZ,245,IN,23844,41.4525,-87.00583,0.9889
KVRB,158,FL,42680,27.653,-80.2427,0.9913
KVSF,721,VT,99999,43.34361,-72.51778,1
KVTA,536,OH,18140,40.02278,-82.4625,0.9986
KVTN,451,NE,99999,42.8783,-100.55,1
KVUO,739,WA,38900,45.62083,-122.65722,1
KWAL,718,VA,99999,37.94056,-75.46306,1
KWJF,93,CA,31084,34.7411,-118.2116,0.9945
KWLD,258,KS,99999,37.16806,-97.03694,0.9986
KWMC,492,NV,99999,40.9017,-117.808,0.9848
KWRL,786,WY,99999,43.96583,-107.95083,1
KWST,597,RI,39300,41.34972,-71.79889,1
KWVI,67,CA,42100,36.93583,-121.78861,1
KYIP,337,MI,19804,42.23333,-83.53333,0.9917
KYKM,741,WA,49420,46.5683,-120.5428,0.9972
KYNG,522,OH,49660,41.25444,-80.67389,1
KZZV,534,OH,99999,39.94444,-81.89222,0.9986
PNLM6,381,MS,37700,30.46361,-88.53194,0
